url,source_url,source_offset,source_length
https://www.financialexpress.com/auto/car-news/good-news-colleges-to-now-issue-driving-licences-heres-all-you-need-to-know/1286464/,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2018/08/CC-NEWS-20180820095443-00267.warc.gz,1063676633.0,11417.0
https://noticieros.televisa.com/ultimas-noticias/ernestina-godoy-corrupcion-exfuncionarios-cdmx-caceria-brujas/,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/07/CC-NEWS-20190716201908-00579.warc.gz,67933834.0,26583.0
https://royalexaminer.com/4-ways-to-be-a-good-friend-to-someone-with-autism/,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2021/04/CC-NEWS-20210401204803-01038.warc.gz,210346566.0,62452.0
http://www.waltontribune.com/article_d1f20ce6-0d2c-11ea-a63c-4f3b8c9ae763.html,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/11/CC-NEWS-20191123034404-02018.warc.gz,538466239.0,25845.0
https://www.kctv5.com/man-tried-to-pull-down-womans-pants-on-manhattan-subway-platform-nypd-says/article_4ef23a56-de06-5cf4-af3d-5b52ca05e2e9.html,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2021/02/CC-NEWS-20210224204820-00411.warc.gz,966171707.0,52939.0
https://blogos.com/article/388231/,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/07/CC-NEWS-20190701012819-00417.warc.gz,419918973.0,21914.0
http://varnautre.bg/2018/08/18/87654/%D0%BC%D0%BE%D1%82%D0%BE%D1%80%D0%B8%D1%81%D1%82-%D0%BF%D0%BE%D1%87%D0%B8%D0%BD%D0%B0-%D0%BD%D0%B0-%D0%BC%D1%8F%D1%81%D1%82%D0%BE-%D1%81%D0%BB%D0%B5%D0%B4-%D0%BA%D0%B0%D1%82%D0%B0%D1%81%D1%82%D1%80,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2018/08/CC-NEWS-20180818111604-00258.warc.gz,62179367.0,17629.0
https://obits.gazette.com/obituaries/gazette/obituary.aspx?n=carl-donner&pid=194820860,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/12/CC-NEWS-20191225084158-00110.warc.gz,635724262.0,28719.0
https://svenska.yle.fi/artikel/2018/08/29/manga-abiturienter-kan-inte-de-dataprogram-som-behovs-i-studentexamen-larare-har,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2018/08/CC-NEWS-20180829024200-00328.warc.gz,46639553.0,52045.0
https://www1.wdr.de/mediathek/audio/wdr5/wdr5-toene-texte-bilder-beitraege/audio-gamescom-ein-fest-fuer-die-nerds-100.html,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2018/08/CC-NEWS-20180825131801-00305.warc.gz,128765129.0,12491.0
